System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-07-30,06:36:07.977,0.02,1.65,0.01,0.40,1.57,7.16,0.81,0.75,0.83,0.0049,0.0005,0.75,0.30,69,1475.64,893.10,3885.21,1.65,13.77,0.02,0.16,2.85,10.05,0.00,53.58,33.52,100.00,0.00,0.00,0.00,7.80,1.42,0.08,
2026-07-30,06:36:08.978,0.01,1.43,0.01,0.33,1.27,7.05,0.76,0.76,0.80,0.0067,0.0007,0.76,0.29,68,1054.14,735.99,3880.25,1.43,11.94,0.01,0.11,2.91,7.87,0.00,55.17,34.06,100.00,0.00,0.00,0.00,7.48,1.10,0.09,
2026-07-30,06:36:09.978,0.01,1.23,0.01,0.27,1.04,4.89,0.62,0.78,0.65,0.0090,0.0011,0.59,0.24,69,545.32,441.76,3879.32,1.23,10.29,0.01,0.06,2.13,3.97,0.00,58.68,35.22,100.00,0.00,0.00,0.00,6.66,0.41,0.08,
2026-07-30,06:36:10.978,0.01,1.27,0.01,0.33,1.27,7.39,0.75,0.75,0.90,0.0073,0.0007,0.76,0.27,68,1009.96,796.97,3879.77,1.27,10.56,0.01,0.11,3.14,7.15,0.00,56.76,32.95,100.00,0.00,0.00,0.00,7.22,0.92,0.09,
2026-07-30,06:36:11.978,0.04,1.66,0.02,0.50,1.94,11.11,1.10,0.71,0.92,0.0036,0.0004,1.00,0.36,68,3070.12,1845.54,3877.27,1.66,13.86,0.04,0.33,4.78,15.48,0.00,46.48,33.26,100.00,0.00,0.00,0.00,10.07,3.64,0.09,
2026-07-30,06:36:12.978,0.01,1.33,0.01,0.28,1.09,5.24,0.40,0.78,0.86,0.0084,0.0006,0.62,0.24,70,624.97,468.36,3881.68,1.33,11.12,0.01,0.07,2.15,1.62,0.00,59.95,36.27,100.00,0.00,0.00,0.00,6.62,0.38,0.09,
2026-07-30,06:36:13.979,0.01,1.42,0.01,0.32,1.26,6.48,0.49,0.75,0.87,0.0072,0.0005,0.70,0.26,69,903.14,634.11,3881.62,1.42,11.87,0.01,0.10,2.52,3.67,0.00,56.35,37.46,100.00,0.00,0.00,0.00,6.92,0.63,0.09,
2026-07-30,06:36:14.979,0.01,1.36,0.01,0.30,1.19,6.85,0.61,0.76,0.86,0.0072,0.0006,0.73,0.27,69,950.64,699.12,3877.40,1.36,11.33,0.01,0.10,2.96,4.62,0.00,57.40,35.03,100.00,0.00,0.00,0.00,6.96,0.65,0.09,
2026-07-30,06:36:15.979,0.01,1.33,0.01,0.28,1.08,5.54,0.46,0.78,0.85,0.0084,0.0007,0.63,0.24,69,660.09,498.02,3875.98,1.33,11.05,0.01,0.07,2.31,2.04,0.00,60.82,34.83,100.00,0.00,0.00,0.00,6.63,0.40,0.08,
2026-07-30,06:36:16.979,0.02,1.75,0.01,0.41,1.61,8.82,0.64,0.70,0.92,0.0048,0.0003,0.85,0.27,69,1839.38,1052.87,3879.41,1.75,14.56,0.02,0.20,3.28,8.26,0.00,53.04,35.42,100.00,0.00,0.00,0.00,7.68,1.32,0.08,
2026-07-30,06:36:17.979,0.03,1.49,0.02,0.50,1.94,8.64,0.93,0.69,0.91,0.0041,0.0004,0.74,0.22,69,2100.75,1410.19,3879.73,1.49,12.41,0.03,0.23,3.65,12.90,0.00,49.24,34.20,100.00,0.00,0.00,0.00,8.49,2.28,0.03,
2026-07-30,06:36:18.980,0.01,1.55,0.00,0.33,1.30,1.99,0.37,0.84,0.64,0.0043,0.0008,0.29,0.04,69,459.20,296.65,3882.11,1.55,12.90,0.01,0.05,1.14,1.78,0.00,59.09,37.98,100.00,0.00,0.00,0.00,6.40,0.39,0.01,
2026-07-30,06:36:19.980,0.05,1.49,0.03,0.88,3.42,19.53,3.63,0.66,0.67,0.0050,0.0009,1.60,0.13,68,3926.18,2627.37,3877.47,1.49,12.45,0.05,0.42,3.87,1.31,0.00,59.12,35.70,100.00,0.00,0.00,0.00,10.82,4.65,0.01,
2026-07-30,06:36:20.979,0.01,1.56,0.01,0.39,1.51,2.94,0.42,0.80,0.85,0.0037,0.0005,0.35,0.06,69,796.14,509.89,3875.96,1.56,13.01,0.01,0.09,1.70,0.58,0.00,60.94,36.79,100.00,0.00,0.00,0.00,6.74,0.70,0.02,
2026-07-30,06:36:21.979,0.01,1.68,0.01,0.40,1.56,2.69,0.19,0.78,0.89,0.0041,0.0003,0.32,0.05,69,654.00,390.04,3877.44,1.68,13.97,0.01,0.07,1.25,1.55,0.00,58.27,38.93,100.00,0.00,0.00,0.00,6.61,0.59,0.01,
2026-07-30,06:36:22.980,0.01,1.73,0.01,0.46,1.81,2.27,0.19,0.77,0.92,0.0032,0.0003,0.30,0.04,69,700.56,405.47,3882.72,1.73,14.40,0.01,0.08,1.13,1.68,0.00,57.97,39.22,100.00,0.00,0.00,0.00,6.64,0.59,0.02,
2026-07-30,06:36:23.980,0.01,1.72,0.01,0.45,1.77,2.99,0.22,0.73,0.92,0.0037,0.0003,0.34,0.06,70,804.46,466.63,3877.02,1.72,14.37,0.01,0.09,1.33,0.99,0.00,58.63,39.06,100.00,0.00,0.00,0.00,6.71,0.67,0.02,
2026-07-30,06:36:24.980,0.00,1.48,0.00,0.33,1.29,1.52,0.16,0.83,0.83,0.0045,0.0005,0.24,0.03,69,336.01,227.08,3878.24,1.48,12.33,0.00,0.04,0.88,0.99,0.00,58.96,39.17,100.00,0.00,0.00,0.00,6.31,0.32,0.01,
2026-07-30,06:36:25.981,0.01,1.78,0.01,0.47,1.82,3.03,0.22,0.75,0.92,0.0035,0.0003,0.35,0.06,69,871.68,490.40,3881.71,1.78,14.81,0.01,0.09,1.35,1.06,0.00,58.33,39.26,100.00,0.00,0.00,0.00,6.77,0.71,0.01,
2026-07-30,06:36:26.981,0.01,1.80,0.01,0.48,1.89,2.44,0.20,0.77,0.92,0.0030,0.0002,0.31,0.05,70,825.95,458.25,3879.44,1.80,15.02,0.01,0.09,1.22,0.62,0.00,58.86,39.30,100.00,0.00,0.00,0.00,6.63,0.59,0.02,
2026-07-30,06:36:27.982,0.01,1.60,0.00,0.39,1.50,2.36,0.16,0.77,0.90,0.0050,0.0003,0.29,0.05,69,477.38,298.30,3881.66,1.60,13.34,0.01,0.05,1.00,0.35,0.00,59.29,39.37,100.00,0.00,0.00,0.00,6.42,0.42,0.01,
2026-07-30,06:36:28.982,0.01,1.93,0.01,0.44,1.70,3.06,0.23,0.74,0.92,0.0030,0.0002,0.34,0.07,69,1031.34,534.66,3878.08,1.93,16.07,0.01,0.11,1.58,0.86,0.00,58.51,39.05,100.00,0.00,0.00,0.00,6.75,0.72,0.02,
2026-07-30,06:36:29.981,0.00,1.48,0.00,0.32,1.27,1.64,0.15,0.79,0.82,0.0056,0.0005,0.26,0.04,69,292.13,198.03,3877.94,1.48,12.29,0.00,0.03,0.79,0.91,0.00,59.16,39.14,100.00,0.00,0.00,0.00,6.26,0.28,0.01,
2026-07-30,06:36:30.982,0.01,1.86,0.01,0.47,1.85,2.38,0.22,0.75,0.91,0.0030,0.0003,0.30,0.06,69,793.59,427.73,3881.37,1.86,15.46,0.01,0.09,1.16,1.74,0.00,58.16,38.94,100.00,0.00,0.00,0.00,6.67,0.60,0.02,
2026-07-30,06:36:31.999,0.06,1.84,0.03,0.87,3.37,12.97,1.49,0.65,0.91,0.0029,0.0003,1.01,0.36,52,4461.59,2428.76,3878.06,1.84,15.31,0.06,0.48,3.62,2.04,0.00,58.46,35.88,100.00,0.00,0.00,0.00,12.23,5.95,0.04,
2026-07-30,06:36:33.010,0.24,2.55,0.09,1.10,4.29,29.85,3.04,0.68,0.86,0.0016,0.0002,2.36,1.25,48,18359.97,7189.04,3880.07,2.55,21.28,0.24,1.97,8.42,10.23,0.00,52.34,29.01,100.00,0.00,0.00,0.00,28.89,22.06,0.03,
2026-07-30,06:36:33.983,0.37,2.68,0.14,1.15,4.48,34.10,7.62,0.75,0.91,0.0012,0.0003,2.77,1.55,43,28904.15,10769.67,3881.28,2.68,22.37,0.37,3.11,12.10,7.79,0.00,54.76,25.35,100.00,0.00,0.00,0.00,39.75,32.74,0.07,
2026-07-30,06:36:34.983,0.40,2.73,0.15,1.11,4.34,35.59,6.04,0.74,0.91,0.0011,0.0002,2.97,1.63,47,31200.43,11437.93,3877.63,2.73,22.73,0.40,3.35,13.27,11.04,0.00,53.92,21.77,100.00,0.00,0.00,0.00,41.35,34.31,0.10,
2026-07-30,06:36:35.984,0.28,2.30,0.12,0.99,3.88,58.44,8.56,0.64,0.82,0.0027,0.0004,5.97,4.39,66,21880.61,9504.43,3880.38,2.30,19.18,0.28,2.35,12.32,17.08,0.00,50.42,20.18,100.00,0.00,0.00,0.00,35.99,27.28,1.51,
