grid_active_power,wind_speed,relative_error,anomaly_status,anomaly_severity
-5.0,1.25,0.1,0,GOOD
-5.0,1.2,0.1,0,GOOD
-5.0,1.36,0.1,0,GOOD
-5.0,1.4,0.1,0,GOOD
1.18,1.2,0.0235,0,GOOD
5.6,1.19,0.1121,0,GOOD
4.41,1.28,0.0881,0,GOOD
6.03,1.22,0.1205,0,GOOD
-0.12,1.27,0.0024,0,GOOD
-2.73,1.25,0.0547,0,GOOD
-5.0,1.32,0.1,0,GOOD
-4.4,1.33,0.088,0,GOOD
-5.0,1.24,0.1,0,GOOD
-5.0,1.2,0.1,0,GOOD
0.89,1.4,0.0178,0,GOOD
-1.18,1.2,0.0236,0,GOOD
30.65,1.35,0.6129,0,GOOD
-5.0,1.34,0.1,0,GOOD
-1.25,1.31,0.025,0,GOOD
-5.0,1.31,0.1,0,GOOD
-3.88,1.31,0.0776,0,GOOD
-3.47,1.29,0.0694,0,GOOD
8.45,1.35,0.169,0,GOOD
-4.5,1.25,0.0899,0,GOOD
-1.91,1.22,0.0383,0,GOOD
-4.3,1.43,0.0861,0,GOOD
-5.0,1.38,0.1,0,GOOD
-5.0,1.25,0.1,0,GOOD
-3.82,1.34,0.0764,0,GOOD
0.74,1.36,0.0148,0,GOOD
5.59,1.24,0.1118,0,GOOD
-2.35,1.26,0.0469,0,GOOD
-2.52,1.17,0.0504,0,GOOD
-5.0,1.33,0.1,0,GOOD
5.4,1.35,0.1079,0,GOOD
-5.0,1.3,0.1,0,GOOD
7.47,1.25,0.1494,0,GOOD
13.16,1.22,0.2633,0,GOOD
-1.88,1.25,0.0376,0,GOOD
-5.0,1.33,0.1,0,GOOD
-0.17,1.28,0.0033,0,GOOD
3.49,1.33,0.0697,0,GOOD
-3.16,1.27,0.0631,0,GOOD
-5.0,1.28,0.1,0,GOOD
5.64,1.14,0.1127,0,GOOD
4.98,1.18,0.0995,0,GOOD
-3.46,1.19,0.0693,0,GOOD
-5.0,1.41,0.1,0,GOOD
4.56,1.36,0.0913,0,GOOD
-5.0,1.26,0.1,0,GOOD
2.14,1.25,0.0429,0,GOOD
1.51,1.11,0.0302,0,GOOD
-5.0,1.31,0.1,0,GOOD
0.81,1.14,0.0162,0,GOOD
5.15,1.23,0.1029,0,GOOD
6.37,1.29,0.1274,0,GOOD
1.17,1.26,0.0235,0,GOOD
-5.0,1.3,0.1,0,GOOD
12.77,1.42,0.2554,0,GOOD
4.11,1.32,0.0822,0,GOOD
-5.0,1.16,0.1,0,GOOD
-5.0,1.19,0.1,0,GOOD
2.31,1.15,0.0462,0,GOOD
6.8,1.26,0.136,0,GOOD
-4.88,1.18,0.0976,0,GOOD
8.26,1.37,0.1651,0,GOOD
-5.0,1.57,0.1,0,GOOD
-5.0,1.18,0.1,0,GOOD
-5.0,1.31,0.1,0,GOOD
-5.0,1.24,0.1,0,GOOD
15.08,1.27,0.3016,0,GOOD
20.58,1.3,0.4116,0,GOOD
2.35,1.18,0.0469,0,GOOD
-5.0,1.23,0.1,0,GOOD
-2.22,1.31,0.0443,0,GOOD
4.73,1.3,0.0947,0,GOOD
-5.0,1.23,0.1,0,GOOD
-5.0,1.19,0.1,0,GOOD
14.35,1.5,0.287,0,GOOD
-5.0,1.37,0.1,0,GOOD
-5.0,1.38,0.1,0,GOOD
0.13,1.27,0.0026,0,GOOD
2.83,1.22,0.0566,0,GOOD
-5.0,1.24,0.1,0,GOOD
0.77,1.16,0.0154,0,GOOD
6.08,1.44,0.1216,0,GOOD
19.61,1.27,0.3923,0,GOOD
-1.26,1.41,0.0252,0,GOOD
-0.41,1.24,0.0083,0,GOOD
15.27,1.33,0.3055,0,GOOD
-5.0,1.3,0.1,0,GOOD
-5.0,1.15,0.1,0,GOOD
2.5,1.46,0.05,0,GOOD
10.76,1.25,0.2152,0,GOOD
3.61,1.17,0.0722,0,GOOD
-0.97,1.35,0.0194,0,GOOD
-5.0,1.28,0.1,0,GOOD
-0.58,1.32,0.0117,0,GOOD
12.33,1.29,0.2466,0,GOOD
-5.0,1.08,0.1,0,GOOD
-2.45,1.2,0.0489,0,GOOD
-3.87,1.2,0.0775,0,GOOD
-5.0,1.76,0.1,0,GOOD
2.48,2.06,0.0496,0,GOOD
4.43,2.52,0.0887,0,GOOD
4.33,2.91,0.0866,0,GOOD
-5.0,3.33,0.1034,0,GOOD
-5.0,3.9,0.1701,0,GOOD
15.92,4.42,0.0449,0,GOOD
34.21,5.04,0.1196,0,GOOD
87.95,5.48,0.223,0,GOOD
126.28,5.85,0.1544,0,GOOD
182.87,6.28,0.098,0,GOOD
238.79,6.76,0.0518,0,GOOD
359.39,7.24,0.0022,0,GOOD
450.24,7.56,0.0014,0,GOOD
588.77,8.03,0.0219,0,GOOD
776.91,8.51,0.0195,0,GOOD
1151.6,9.27,0.0123,0,GOOD
1553.97,9.95,0.0217,0,GOOD
1826.57,10.3,0.0088,0,GOOD
2105.43,10.72,0.0342,0,GOOD
2416.29,11.0,0.0038,0,GOOD
2038.59,11.39,0.2699,1,LOW
3277.47,11.88,0.0111,0,GOOD
3349.52,12.48,0.0291,0,GOOD
3307.38,12.85,0.0413,0,GOOD
3417.76,13.22,0.0093,0,GOOD
3392.71,12.69,0.0166,0,GOOD
3353.3,12.86,0.028,0,GOOD
3406.94,13.39,0.0125,0,GOOD
3356.97,12.89,0.027,0,GOOD
3358.28,12.75,0.0266,0,GOOD
3385.87,13.37,0.0186,0,GOOD
3332.36,12.86,0.0341,0,GOOD
3380.06,13.5,0.0203,0,GOOD
3417.61,12.97,0.0094,0,GOOD
3366.96,13.31,0.0241,0,GOOD
3420.2,12.99,0.0086,0,GOOD
3431.8,13.1,0.0053,0,GOOD
3376.75,13.01,0.0212,0,GOOD
3298.73,12.99,0.0438,0,GOOD
3353.28,13.07,0.028,0,GOOD
3415.29,13.11,0.0101,0,GOOD
3337.73,13.06,0.0325,0,GOOD
3342.0,13.04,0.0313,0,GOOD
3410.01,12.92,0.0116,0,GOOD
3438.06,13.02,0.0035,0,GOOD
3385.78,13.28,0.0186,0,GOOD
3350.98,12.91,0.0287,0,GOOD
3361.56,13.07,0.0256,0,GOOD
3393.18,13.22,0.0165,0,GOOD
3372.92,13.11,0.0223,0,GOOD
3423.74,13.18,0.0076,0,GOOD
3364.18,12.85,0.0249,0,GOOD
3384.27,13.07,0.0191,0,GOOD
3393.95,12.99,0.0162,0,GOOD
3372.42,12.99,0.0225,0,GOOD
3407.41,13.27,0.0123,0,GOOD
3382.74,12.99,0.0195,0,GOOD
3418.59,13.08,0.0091,0,GOOD
3400.29,12.75,0.0144,0,GOOD
3404.83,13.31,0.0131,0,GOOD
3357.5,13.17,0.0268,0,GOOD
3337.84,13.02,0.0325,0,GOOD
3421.76,12.98,0.0082,0,GOOD
3395.35,13.13,0.0158,0,GOOD
3344.41,13.22,0.0306,0,GOOD
3380.53,13.31,0.0201,0,GOOD
3298.9,13.16,0.0438,0,GOOD
3350.81,13.04,0.0288,0,GOOD
3401.35,13.19,0.0141,0,GOOD
3388.91,13.16,0.0177,0,GOOD
3375.37,13.04,0.0216,0,GOOD
2764.44,13.15,0.1987,1,LOW
3377.01,13.15,0.0212,0,GOOD
3401.81,13.02,0.014,0,GOOD
3405.0,12.95,0.013,0,GOOD
1609.6,13.13,0.5334,1,MEDIUM
3380.99,12.87,0.02,0,GOOD
3389.02,12.84,0.0177,0,GOOD
3339.29,13.08,0.0321,0,GOOD
3355.57,13.13,0.0274,0,GOOD
3332.19,13.08,0.0341,0,GOOD
3324.21,13.1,0.0365,0,GOOD
3337.29,12.7,0.0327,0,GOOD
3449.25,13.13,0.0002,0,GOOD
3371.03,13.27,0.0229,0,GOOD
3389.44,13.17,0.0176,0,GOOD
3374.53,13.16,0.0219,0,GOOD
3317.4,13.07,0.0384,0,GOOD
3415.06,13.08,0.0101,0,GOOD
3315.05,13.01,0.0391,0,GOOD
3347.14,13.09,0.0298,0,GOOD
775.12,12.86,0.7753,1,HIGH
3397.24,13.27,0.0153,0,GOOD
3356.59,12.9,0.0271,0,GOOD
3332.26,13.17,0.0341,0,GOOD
3337.6,13.24,0.0326,0,GOOD
3338.27,13.17,0.0324,0,GOOD
3362.03,13.4,0.0255,0,GOOD
3423.13,12.71,0.0078,0,GOOD
3337.2,13.07,0.0327,0,GOOD
3395.39,12.78,0.0158,0,GOOD
3393.91,12.78,0.0163,0,GOOD
3406.0,13.1,0.0128,0,GOOD
3369.34,13.08,0.0234,0,GOOD
3410.19,12.66,0.0115,0,GOOD
3384.1,12.96,0.0191,0,GOOD
3384.33,13.14,0.019,0,GOOD
3327.17,12.93,0.0356,0,GOOD
3287.54,13.15,0.0471,0,GOOD
3398.2,13.12,0.015,0,GOOD
2621.93,13.0,0.24,1,LOW
3391.95,13.16,0.0168,0,GOOD
3375.38,13.12,0.0216,0,GOOD
3427.0,13.01,0.0067,0,GOOD
3362.21,12.71,0.0254,0,GOOD
