grid_active_power,wind_speed,relative_error,anomaly_status,anomaly_severity
152.38,5.6,0.8313,1,HIGH
175.74,6.82,0.3329,1,MEDIUM
872.67,8.65,0.0235,0,GOOD
174.55,6.82,0.336,1,MEDIUM
-5.0,3.64,0.1248,0,GOOD
94.07,6.3,0.4457,1,MEDIUM
-5.0,4.23,0.2754,1,LOW
903.87,8.66,0.0552,0,GOOD
97.81,5.41,0.4822,1,MEDIUM
642.03,8.43,0.1519,1,LOW
116.39,2.49,2.3278,0,GOOD
-5.0,2.29,0.1,0,GOOD
0.86,2.46,0.0172,0,GOOD
1148.67,9.34,0.0458,0,GOOD
302.28,12.16,0.9124,1,HIGH
1860.81,10.58,0.0968,0,GOOD
-5.0,4.4,0.3594,1,MEDIUM
3061.93,12.46,0.1125,0,GOOD
265.6,6.41,0.418,1,MEDIUM
10.58,2.64,0.2116,0,GOOD
2937.86,16.95,0.1484,0,GOOD
340.26,6.48,0.7073,1,HIGH
347.92,7.33,0.0914,0,GOOD
32.96,5.3,0.4283,1,MEDIUM
3163.13,11.94,0.0655,0,GOOD
83.33,4.55,1.3114,1,HIGH
59.48,2.96,1.1896,0,GOOD
2905.58,18.12,0.1578,0,GOOD
1052.57,9.38,0.1432,0,GOOD
791.52,8.52,0.0049,0,GOOD
62.62,2.69,1.2524,0,GOOD
633.47,8.2,0.0467,0,GOOD
3434.32,15.22,0.0045,0,GOOD
3155.62,12.18,0.0853,0,GOOD
631.8,8.41,0.1571,1,LOW
174.71,6.75,0.3021,1,MEDIUM
25.07,5.52,0.6694,1,HIGH
3137.09,11.82,0.0342,0,GOOD
-5.0,3.73,0.1362,0,GOOD
17.73,2.15,0.3546,0,GOOD
42.04,2.92,0.8408,0,GOOD
163.98,6.48,0.1788,1,LOW
650.24,8.3,0.0782,0,GOOD
3373.54,15.31,0.0222,0,GOOD
-5.0,4.71,0.577,1,MEDIUM
506.74,7.7,0.0299,0,GOOD
-5.0,1.62,0.1,0,GOOD
3447.69,11.88,0.0417,0,GOOD
1.75,2.96,0.035,0,GOOD
661.09,10.45,0.6626,1,HIGH
96.55,4.38,1.6832,1,HIGH
77.4,6.07,0.4355,1,MEDIUM
-5.0,3.39,0.1054,0,GOOD
3340.25,12.7,0.0318,0,GOOD
614.92,8.28,0.1183,0,GOOD
3305.39,12.02,0.0419,0,GOOD
247.23,7.16,0.2721,1,LOW
542.37,7.67,0.1259,0,GOOD
346.05,7.78,0.3314,1,MEDIUM
1383.82,10.52,0.3121,1,MEDIUM
418.5,11.78,0.8693,1,HIGH
314.57,7.71,0.3654,1,MEDIUM
114.37,8.12,0.8201,1,HIGH
994.3,9.17,0.1049,0,GOOD
821.93,8.52,0.0336,0,GOOD
416.84,7.94,0.2691,1,LOW
3064.17,13.75,0.1118,0,GOOD
187.48,6.84,0.3014,1,MEDIUM
1444.97,10.17,0.1728,1,LOW
1068.36,17.87,0.6903,0,GOOD
-5.0,2.91,0.1,0,GOOD
747.72,8.44,0.0199,0,GOOD
936.66,8.82,0.0028,0,GOOD
-5.0,2.47,0.1,0,GOOD
46.27,2.36,0.9254,0,GOOD
551.59,7.77,0.0751,0,GOOD
3248.91,13.32,0.0583,0,GOOD
2082.67,10.56,0.0187,0,GOOD
2983.41,15.55,0.1352,0,GOOD
-4.35,3.51,0.0994,0,GOOD
2960.43,11.66,0.0365,0,GOOD
563.09,8.13,0.1182,0,GOOD
824.91,8.82,0.1153,0,GOOD
186.4,5.94,0.5558,1,MEDIUM
-1.03,2.52,0.0206,0,GOOD
1544.3,10.0,0.0502,0,GOOD
529.75,7.85,0.016,0,GOOD
117.26,5.25,1.1699,1,HIGH
-5.0,3.19,0.1006,0,GOOD
-5.0,1.06,0.1,0,GOOD
2878.45,11.8,0.1074,0,GOOD
2243.5,11.26,0.1583,1,LOW
2105.78,11.49,0.274,1,LOW
51.71,6.14,0.6461,1,HIGH
927.15,9.04,0.1099,0,GOOD
31.57,3.92,0.5584,1,MEDIUM
844.28,8.78,0.0777,0,GOOD
145.04,6.21,0.074,0,GOOD
215.99,7.03,0.304,1,MEDIUM
561.67,8.36,0.2278,1,LOW
235.48,7.07,0.2601,1,LOW
57.19,3.76,1.1028,1,HIGH
1992.01,10.5,0.0021,0,GOOD
2568.18,11.59,0.1449,0,GOOD
2607.44,11.48,0.0952,0,GOOD
118.42,3.03,2.3684,1,HIGH
-5.0,4.18,0.2574,1,LOW
90.3,6.43,0.5286,1,MEDIUM
65.24,2.58,1.3048,0,GOOD
2806.02,11.59,0.0642,0,GOOD
385.75,7.58,0.1522,1,LOW
849.34,8.92,0.1362,0,GOOD
2199.37,11.03,0.1024,0,GOOD
-5.0,5.21,1.0982,1,HIGH
5.46,4.36,0.1298,0,GOOD
119.47,5.9,0.0371,0,GOOD
-5.0,2.98,0.1,0,GOOD
486.21,7.94,0.1486,0,GOOD
