FpsCounter(last 1.00sec): total=217.97 fps, number-streams=1, per-stream=217.97 fps
FpsCounter(last 1.00sec): total=235.21 fps, number-streams=1, per-stream=235.21 fps
FpsCounter(last 1.00sec): total=236.48 fps, number-streams=1, per-stream=236.48 fps
FpsCounter(last 1.00sec): total=207.29 fps, number-streams=1, per-stream=207.29 fps
FpsCounter(last 1.00sec): total=232.00 fps, number-streams=1, per-stream=232.00 fps
FpsCounter(average 1.00sec): total=234.98 fps, number-streams=1, per-stream=234.98 fps
FpsCounter(last 1.01sec): total=230.84 fps, number-streams=1, per-stream=230.84 fps
FpsCounter(average 2.00sec): total=228.99 fps, number-streams=1, per-stream=228.99 fps
FpsCounter(last 1.00sec): total=212.74 fps, number-streams=1, per-stream=212.74 fps
FpsCounter(average 3.01sec): total=223.55 fps, number-streams=1, per-stream=223.55 fps
FpsCounter(last 1.00sec): total=215.55 fps, number-streams=1, per-stream=215.55 fps
FpsCounter(average 4.01sec): total=220.77 fps, number-streams=1, per-stream=220.77 fps
FpsCounter(last 1.00sec): total=219.00 fps, number-streams=1, per-stream=219.00 fps
FpsCounter(average 5.02sec): total=221.38 fps, number-streams=1, per-stream=221.38 fps
FpsCounter(last 1.01sec): total=215.84 fps, number-streams=1, per-stream=215.84 fps
FpsCounter(average 6.02sec): total=220.40 fps, number-streams=1, per-stream=220.40 fps
FpsCounter(last 1.00sec): total=220.42 fps, number-streams=1, per-stream=220.42 fps
FpsCounter(average 7.02sec): total=220.56 fps, number-streams=1, per-stream=220.56 fps
FpsCounter(last 1.00sec): total=219.88 fps, number-streams=1, per-stream=219.88 fps
FpsCounter(average 8.03sec): total=220.36 fps, number-streams=1, per-stream=220.36 fps
FpsCounter(last 1.01sec): total=220.44 fps, number-streams=1, per-stream=220.44 fps
FpsCounter(average 9.03sec): total=220.29 fps, number-streams=1, per-stream=220.29 fps
FpsCounter(last 1.00sec): total=210.24 fps, number-streams=1, per-stream=210.24 fps
FpsCounter(average 10.04sec): total=218.69 fps, number-streams=1, per-stream=218.69 fps
FpsCounter(last 1.00sec): total=210.16 fps, number-streams=1, per-stream=210.16 fps
FpsCounter(average 11.04sec): total=218.62 fps, number-streams=1, per-stream=218.62 fps
FpsCounter(last 1.00sec): total=221.22 fps, number-streams=1, per-stream=221.22 fps
FpsCounter(average 12.04sec): total=218.87 fps, number-streams=1, per-stream=218.87 fps
FpsCounter(last 1.00sec): total=221.05 fps, number-streams=1, per-stream=221.05 fps
FpsCounter(average 13.04sec): total=218.64 fps, number-streams=1, per-stream=218.64 fps
FpsCounter(last 1.00sec): total=211.73 fps, number-streams=1, per-stream=211.73 fps
FpsCounter(average 14.05sec): total=218.43 fps, number-streams=1, per-stream=218.43 fps
FpsCounter(last 1.00sec): total=220.39 fps, number-streams=1, per-stream=220.39 fps
FpsCounter(average 15.05sec): total=218.50 fps, number-streams=1, per-stream=218.50 fps
FpsCounter(last 1.00sec): total=219.56 fps, number-streams=1, per-stream=219.56 fps
FpsCounter(average 16.05sec): total=218.68 fps, number-streams=1, per-stream=218.68 fps
FpsCounter(last 1.00sec): total=221.42 fps, number-streams=1, per-stream=221.42 fps
FpsCounter(average 17.06sec): total=218.81 fps, number-streams=1, per-stream=218.81 fps
FpsCounter(last 1.01sec): total=220.75 fps, number-streams=1, per-stream=220.75 fps
FpsCounter(average 18.06sec): total=218.92 fps, number-streams=1, per-stream=218.92 fps
FpsCounter(last 1.00sec): total=221.05 fps, number-streams=1, per-stream=221.05 fps
FpsCounter(average 19.06sec): total=219.05 fps, number-streams=1, per-stream=219.05 fps
FpsCounter(last 1.01sec): total=220.83 fps, number-streams=1, per-stream=220.83 fps
FpsCounter(average 20.07sec): total=219.14 fps, number-streams=1, per-stream=219.14 fps
FpsCounter(last 1.00sec): total=221.30 fps, number-streams=1, per-stream=221.30 fps
FpsCounter(average 21.08sec): total=219.19 fps, number-streams=1, per-stream=219.19 fps
FpsCounter(last 1.00sec): total=216.51 fps, number-streams=1, per-stream=216.51 fps
FpsCounter(average 22.08sec): total=219.07 fps, number-streams=1, per-stream=219.07 fps
FpsCounter(last 1.00sec): total=219.98 fps, number-streams=1, per-stream=219.98 fps
FpsCounter(average 23.08sec): total=219.12 fps, number-streams=1, per-stream=219.12 fps
FpsCounter(last 1.00sec): total=219.54 fps, number-streams=1, per-stream=219.54 fps
FpsCounter(average 24.09sec): total=219.09 fps, number-streams=1, per-stream=219.09 fps
FpsCounter(last 1.01sec): total=218.49 fps, number-streams=1, per-stream=218.49 fps
