FpsCounter(last 1.02sec): total=92.54 fps, number-streams=1, per-stream=92.54 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(last 1.03sec): total=30.05 fps, number-streams=1, per-stream=30.05 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.96 fps, number-streams=1, per-stream=29.96 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 1.00sec): total=30.98 fps, number-streams=1, per-stream=30.98 fps
FpsCounter(last 1.03sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 2.03sec): total=30.49 fps, number-streams=1, per-stream=30.49 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 3.03sec): total=30.32 fps, number-streams=1, per-stream=30.32 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 4.07sec): total=30.24 fps, number-streams=1, per-stream=30.24 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 5.07sec): total=30.18 fps, number-streams=1, per-stream=30.18 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 6.10sec): total=30.16 fps, number-streams=1, per-stream=30.16 fps
