FpsCounter(last 1.02sec): total=200.79 fps, number-streams=2, per-stream=100.39 fps (99.90, 100.88)
FpsCounter(last 1.00sec): total=59.90 fps, number-streams=2, per-stream=29.95 fps (30.95, 28.95)
FpsCounter(last 1.03sec): total=60.20 fps, number-streams=2, per-stream=30.10 fps (30.10, 30.10)
FpsCounter(last 1.00sec): total=61.00 fps, number-streams=2, per-stream=30.50 fps (30.00, 31.00)
FpsCounter(last 1.00sec): total=58.98 fps, number-streams=2, per-stream=29.49 fps (29.99, 28.99)
FpsCounter(last 1.03sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.03, 30.96)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.99, 29.05)
FpsCounter(last 1.00sec): total=59.96 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(last 1.03sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(last 1.03sec): total=60.03 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(last 1.00sec): total=59.95 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(last 1.03sec): total=60.06 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(last 1.00sec): total=59.98 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(last 1.03sec): total=60.05 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(last 1.00sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 1.00sec): total=59.95 fps, number-streams=2, per-stream=29.98 fps (30.98, 28.98)
FpsCounter(last 1.00sec): total=59.98 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 2.03sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (30.49, 29.50)
FpsCounter(last 1.03sec): total=60.08 fps, number-streams=2, per-stream=30.04 fps (29.07, 31.01)
FpsCounter(average 3.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.33, 29.67)
FpsCounter(last 1.03sec): total=59.98 fps, number-streams=2, per-stream=29.99 fps (30.96, 29.02)
FpsCounter(average 4.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.01 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 5.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.20, 29.80)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 6.07sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.16, 29.83)
FpsCounter(last 1.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 7.10sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.14, 29.86)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (28.98, 30.98)
FpsCounter(average 8.10sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(last 1.03sec): total=60.09 fps, number-streams=2, per-stream=30.04 fps (31.01, 29.07)
FpsCounter(average 9.13sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.11, 29.89)
FpsCounter(last 1.00sec): total=59.90 fps, number-streams=2, per-stream=29.95 fps (29.95, 29.95)
FpsCounter(average 10.13sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.09, 29.90)
FpsCounter(last 1.03sec): total=60.13 fps, number-streams=2, per-stream=30.07 fps (30.07, 30.07)
FpsCounter(average 11.17sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.09, 29.91)
FpsCounter(last 1.00sec): total=59.90 fps, number-streams=2, per-stream=29.95 fps (29.95, 29.95)
FpsCounter(average 12.17sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.08, 29.92)
FpsCounter(last 1.03sec): total=60.01 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 13.20sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.07, 29.92)
